Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\STM32_Board\Project Outputs for STM32_Board\Pick Place for STM32_Board.csv

========================================================================================================================
File Design Information:

Date:       26/07/23
Time:       10:39
Revision:   f66fe553bba653f9a020d1fa81a1ee3de4f96afb
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"U3","STM32L476RGT6","TopLayer","LQFP64-10x10mm_STM","84.2010","82.1690","180","No Description Available"
"K9","POWER","TopLayer","HEADER-1X8","100.0760","111.6330","270",""
"D5","USBLC6-2P6","TopLayer","FP-SOT-666-MFG","57.4040","80.0100","0","TVS DIODE 5.25V 17V SOT666"
"Y2","ABM8-25.000MHZ-B2-T","TopLayer","FP-ABM8-MFG","99.9490","73.5330","180","Crystal 25MHz ±20ppm 18pF SMD-4 3.2mm x 2.5mm"
"Y1","ABS07-32.768KHZ-T","TopLayer","FP-ABS07-MFG","99.3140","80.6450","270","Crystal 32.768kHz ±20ppm (Tol) 12.5pF FUND 70k? 2-Pin CSMD T/R"
"U5","L7805CDT-TR","TopLayer","TO-252_N","84.0740","106.9770","90","Positive Voltage Regulator, 3-Pin DPAK, Tape and Reel"
"U4","AMS1117-3.3","TopLayer","FP-AMS1117-IPC_C","67.9450","97.7900","270","LDO Voltage Regulators 1A, 3.3V"
"U2","MPU-6050","TopLayer","IS-QFN-24_V","69.4690","55.7530","270","3-Axis Gyroscope, Accelerometer and a Digital Motion Processor(TM) (DMP), 2.375 to 3.46 V, -40 to 85 degC, 24-Pin QFN, RoHS, Tape and Reel"
"U1","TCAN332GDR","TopLayer","SOIC-8_x1","88.9000","59.2760","270","Can Transceiver"
"SW2","B3F-1000","TopLayer","OMRON-B3F-1000-4_V","59.5630","64.1350","0","Tactile Switch, SPST-NO, 0.05 A, 5 to 24 V, -25 to 70 degC, 4-Pin THD, RoHS, Bulk"
"SW1","B3F-1000","TopLayer","OMRON-B3F-1000-4_V","113.9190","80.5180","180","Tactile Switch, SPST-NO, 0.05 A, 5 to 24 V, -25 to 70 degC, 4-Pin THD, RoHS, Bulk"
"R14","5.1k","TopLayer","0805","56.7690","73.9140","90",""
"R13","5.1k","TopLayer","0805","57.6580","84.8360","180",""
"R12","560R","TopLayer","0805","59.4360","88.0110","0",""
"R11","10k","TopLayer","0805","68.3006","65.4241","90",""
"R10","0R","TopLayer","0805","95.8190","76.7080","180",""
"R9","560","TopLayer","0805","64.7700","88.0110","0",""
"R8","10k","TopLayer","0805","84.8360","72.1360","270",""
"R7","0R","TopLayer","0805","76.5810","67.6910","90",""
"R6","0R","TopLayer","0805","74.2950","67.6910","90",""
"R5","2.2k","TopLayer","0805","77.4700","62.3570","0",""
"R4","2.2k","TopLayer","0805","73.5330","62.3570","180",""
"R3","0R","TopLayer","0805","95.8850","81.7880","0",""
"R2","10k","TopLayer","0805","106.8070","80.5180","270",""
"R1","120R","TopLayer","0805","88.9000","52.9590","180",""
"P1","CAN","TopLayer","TECO-640456-4","88.9000","48.2600","0","Male Header, Pitch 2.54 mm, 1 x 4 Position, Height 10.03 mm, Tail Length 3.56 mm, RoHS, Bulk"
"K11","PORTB_PART2","TopLayer","HEADER-1X8","57.4040","46.7130","270",""
"K10","PORTB_PART1","TopLayer","HEADER-1X8","107.3150","46.7130","270",""
"K8","PORTA_PART2","TopLayer","HEADER-1X4","47.1170","65.4050","180",""
"K7","PORTC_PART1","TopLayer","HEADER-1X8","124.5370","75.4380","180",""
"K6","PORTA_PART1","TopLayer","HEADER-1X8","124.5370","96.5200","0",""
"K5","IMU_EXTERNAL_SENSOR","TopLayer","HEADER-1X2","47.1170","57.1500","180",""
"K4","PORTC_PART2","TopLayer","HEADER-1X7","124.5370","55.6260","180",""
"K3","I2C1","TopLayer","HEADER-1X4","73.2790","46.7130","90",""
"K2","SWD Connector","TopLayer","HEADER-2X3","64.2620","73.7870","90",""
"K1","USART2","TopLayer","HEADER-1X4","118.3640","111.6330","270",""
"J2","694106301002","TopLayer","694106301002","57.0440","105.9310","270","DC Power Jack Connector WR-DC, Male, Right Angled, THT, 5 A, 24 V"
"J1","USB4105-GF-A","TopLayer","FP-USB4105-GF-A-MFG","51.2505","80.1370","270","CONN RCPT USB2.0 TYPEC 5A"
"FLASH1","MX25L51245GMI-08G","TopLayer","FP-MX25L51245GMI-08G-IPC_C","95.3770","100.5840","90","IC FLASH 512MBIT SPI/QUAD 16SOP"
"FB1","120R","TopLayer","FP-BLM18-0_15-t0_8-MFG","54.7370","95.1230","0","Chip Ferrite Bead, 0603, 120? @ 100MHz, 0.18?, 25%, 800mA"
"D4","ES2DA-13-F","TopLayer","FP-SMA-MFG","50.8000","89.4080","270","DIODE GEN PURP 200V 2A SMA"
"D3","ES2DA-13-F","TopLayer","FP-SMA-MFG","65.7540","105.6640","180","DIODE GEN PURP 200V 2A SMA"
"D2","LED SMD 0805 Green","TopLayer","0805_PAD","55.2450","88.0110","0","WURTH ELEKTRONIK - 150080GS75000 - LED, Green, SMD, 0805, 30 mA, 3.2 V, 520 nm"
"D1","LED SMD 0805 Green","TopLayer","0805_PAD","68.9270","87.8840","180","WURTH ELEKTRONIK - 150080GS75000 - LED, Green, SMD, 0805, 30 mA, 3.2 V, 520 nm"
"C26","C+47U-6V3","TopLayer","PANACAP-C","72.7710","109.3470","90","GENERIC CAPACITOR POLARISED"
"C25","100n","TopLayer","0805","77.7240","106.4260","90",""
"C24","100n","TopLayer","0805","76.9620","95.5040","180",""
"C23","C+47U-6V3","TopLayer","PANACAP-C","76.5810","99.9490","180","GENERIC CAPACITOR POLARISED"
"C22","22u","TopLayer","0805","66.6750","92.3290","0",""
"C21","2.2u","TopLayer","0805","59.0550","96.0120","270",""
"C20","2.2u","TopLayer","0805","50.9270","96.0780","270",""
"C19","100n","TopLayer","0805","65.7606","65.4241","90",""
"C18","32p","TopLayer","0805","105.7910","74.4220","0",""
"C17","100n","TopLayer","0805","76.2000","76.7740","270",""
"C16","100n","TopLayer","0805","75.6920","88.1380","0",""
"C15","100n","TopLayer","0805","92.3290","74.4220","90",""
"C14","100n","TopLayer","0805","92.7100","90.4240","180",""
"C13","100n","TopLayer","0805","92.7100","88.0110","180",""
"C12","100n","TopLayer","0805","89.7890","74.3610","90",""
"C11","32p","TopLayer","0805","95.5040","71.3130","90",""
"C10","2.2u","TopLayer","0805","75.7580","90.8050","0",""
"C9","22p","TopLayer","0805","103.1850","82.0420","180",""
"C8","22p","TopLayer","0805","103.1900","79.2480","180",""
"C7","10n","TopLayer","0805","62.4840","58.0390","180",""
"C6","2.2n","TopLayer","0805","73.4060","53.2740","270",""
"C5","0.1u","TopLayer","0805","64.8970","52.4510","180",""
"C4","100n","TopLayer","0805","62.4840","55.4990","180",""
"C3","100n","TopLayer","0805","88.5190","97.7900","270",""
"C2","22p","TopLayer","0805","82.0420","59.1820","90",""
"C1","22p","TopLayer","0805","84.5820","59.1820","90",""
